age,fare,body,pclass,survived,name,sex,sibsp,parch,ticket,cabin,embarked,boat,home.dest
22.0,13.0,146.0,3.0,0,"Richards, Master. William Rowe",male,0.0,0.0,3101295,C23 C25 C27,S,13,"New York, NY"
25.0,15.0,154.0,3.0,0,"Lemore, Mrs. (Amelia Milley)",male,0.0,0.0,3101295,C23 C25 C27,S,13,"New York, NY"
20.0,9.0,150.0,3.0,0,"Richards, Master. William Rowe",male,0.0,0.0,3101295,C23 C25 C27,S,13,"New York, NY"
42.0,85.0,185.0,1.0,1,"Asim, Mr. Adola",female,1.0,9.0,2700,B30,C,16,"Minneapolis, MN"
22.0,12.0,149.0,3.0,0,"Richards, Master. William Rowe",male,0.0,0.0,3101295,C23 C25 C27,S,13,"New York, NY"
22.0,14.0,152.0,3.0,0,"Lemore, Mrs. (Amelia Milley)",male,0.0,0.0,3101295,C23 C25 C27,S,13,"New York, NY"
22.0,13.0,150.0,3.0,0,"Richards, Master. William Rowe",male,0.0,0.0,3101295,C23 C25 C27,S,13,"New York, NY"
21.0,6.0,150.0,3.0,0,"Matinoff, Mr. Nicola",male,0.0,0.0,3101295,C23 C25 C27,S,13,"New York, NY"
22.0,13.0,150.0,3.0,0,"Richards, Master. William Rowe",male,0.0,0.0,3101295,C23 C25 C27,S,13,"New York, NY"
21.0,11.0,148.0,3.0,0,"Richards, Master. William Rowe",male,0.0,0.0,3101295,C23 C25 C27,S,13,"New York, NY"
22.0,10.0,149.0,3.0,0,"Richards, Master. William Rowe",male,0.0,0.0,3101295,C23 C25 C27,S,13,"New York, NY"
24.0,21.0,143.0,3.0,0,"Richards, Master. William Rowe",male,0.0,0.0,349247,C23 C25 C27,S,13,"New York, NY"
24.0,15.0,142.0,3.0,0,"Richards, Master. William Rowe",male,0.0,0.0,349247,C23 C25 C27,S,13,"New York, NY"
20.0,10.0,148.0,3.0,0,"Richards, Master. William Rowe",male,0.0,0.0,3101295,C23 C25 C27,S,13,"New York, NY"
