age,fare,body,pclass,survived,name,sex,sibsp,parch,ticket,cabin,embarked,boat,home.dest
33.0,-5.0,156.0,2.0,0,"Daly, Mr. Peter Denis",male,0.0,0.0,2676,C23 C25 C27,S,13,"Brooklyn, NY"
34.0,1.0,157.0,2.0,0,"Sap, Mr. Julius",male,0.0,0.0,2676,C23 C25 C27,S,13,"East Orange, NJ"
38.0,15.0,161.0,2.0,1,"Rheims, Mr. George Alexander Lucien",male,0.0,0.0,2676,C23 C25 C27,S,13,"Brooklyn, NY"
34.0,43.0,159.0,2.0,0,"Skoog, Master. Harald",male,3.0,4.0,2676,D15,Q,13 15 B,"Clevedon, England"
17.0,85.0,185.0,3.0,0,"Lester, Mr. James",female,4.0,2.0,2676,D6,Q,11,"Haverford, PA / Cooperstown, NY"
17.0,85.0,164.0,1.0,0,"Hood, Mr. Ambrose Jr",male,1.0,1.0,PP 9549,B38,C,16,"New York, NY"
36.0,-1.0,159.0,2.0,0,"Sap, Mr. Julius",male,0.0,0.0,2676,C23 C25 C27,S,13,"Brooklyn, NY"
37.0,13.0,161.0,2.0,1,"Rheims, Mr. George Alexander Lucien",male,0.0,0.0,2676,C23 C25 C27,S,13,"Brooklyn, NY"
30.0,83.0,170.0,3.0,0,"Salomon, Mr. Abraham L",female,1.0,3.0,323951,A19,C,7,"New York, NY"
34.0,67.0,160.0,1.0,0,"Sjoblom, Miss. Anna Sofia",male,0.0,0.0,330923,E121,Q,4,"Tuxedo Park, NY"
35.0,-2.0,158.0,2.0,0,"Sap, Mr. Julius",male,0.0,0.0,2676,C23 C25 C27,S,13,"Brooklyn, NY"
35.0,1.0,158.0,2.0,1,"Rheims, Mr. George Alexander Lucien",male,0.0,0.0,2676,C23 C25 C27,S,13,"Brooklyn, NY"
37.0,3.0,160.0,2.0,1,"Sap, Mr. Julius",male,0.0,0.0,2676,C23 C25 C27,S,13,"Brooklyn, NY"
34.0,30.0,163.0,2.0,0,"Sap, Mr. Julius",male,0.0,0.0,2676,C23 C25 C27,Q,2,"Ruotsinphyhtaa, Finland New York, NY"
36.0,20.0,161.0,2.0,1,"Clifford, Mr. George Quincy",male,0.0,0.0,2676,C23 C25 C27,S,13,Southampton
37.0,4.0,159.0,2.0,1,"Sap, Mr. Julius",male,0.0,0.0,2676,C23 C25 C27,S,13,"Brooklyn, NY"
17.0,85.0,181.0,2.0,0,"Mitkoff, Mr. Mito",male,1.0,1.0,348123,C23 C25 C27,C,11,"New York, NY"
34.0,8.0,159.0,2.0,1,"Vander Cruyssen, Mr. Victor",male,0.0,0.0,695,C23 C25 C27,S,13,"Mexico City, Mexico"
35.0,5.0,158.0,2.0,1,"Rheims, Mr. George Alexander Lucien",male,0.0,0.0,2676,C23 C25 C27,S,13,"Brooklyn, NY"
17.0,85.0,185.0,2.0,0,"Jalsevac, Mr. Ivan",female,3.0,2.0,348123,B94,C,11,"St Andrews, Guernsey"
33.0,35.0,163.0,2.0,0,"Lester, Mr. James",female,3.0,4.0,348123,C111,Q,11,"England Oglesby, IL"
38.0,42.0,165.0,1.0,1,"Van Impe, Mr. Jean Baptiste",male,0.0,0.0,2676,C23 C25 C27,S,13,London
17.0,85.0,185.0,3.0,0,"Harper, Mrs. Henry Sleeper (Myna Haxtun)",female,1.0,1.0,348123,C65,C,11,"New York, NY"
17.0,85.0,126.0,3.0,0,"Astor, Col. John Jacob",female,1.0,1.0,113050,E12,C,14,"Halifax, NS"
38.0,17.0,162.0,2.0,1,"Sap, Mr. Julius",male,0.0,0.0,2676,C23 C25 C27,S,13,"Los Angeles, CA"
35.0,-0.0,158.0,2.0,0,"Sap, Mr. Julius",male,0.0,0.0,2676,C23 C25 C27,S,13,"Brooklyn, NY"
36.0,3.0,159.0,2.0,1,"Sap, Mr. Julius",male,0.0,0.0,2676,C23 C25 C27,S,13,"Brooklyn, NY"
38.0,17.0,161.0,2.0,1,"Rheims, Mr. George Alexander Lucien",male,0.0,0.0,2676,C23 C25 C27,S,13,"Brooklyn, NY"
17.0,85.0,180.0,3.0,0,"Abbott, Mrs. Stanton (Rosa Hunt)",female,1.0,1.0,110152,A5,C,10,"Ascot, Berkshire / Rochester, NY"
17.0,85.0,126.0,3.0,0,"Chibnall, Mrs. (Edith Martha Bowerman)",female,1.0,1.0,348123,B101,C,7,"New York, NY"
17.0,85.0,173.0,3.0,0,"Bowenur, Mr. Solomon",female,1.0,1.0,111361,B79,C,11,"New York, NY"
39.0,50.0,164.0,1.0,1,"Van Impe, Mr. Jean Baptiste",male,0.0,0.0,2676,C23 C25 C27,S,13,London
17.0,85.0,133.0,3.0,0,"Emir, Mr. Farred Chehab",female,2.0,1.0,348123,G6,Q,4,"Amenia, ND"
36.0,6.0,159.0,2.0,1,"Sap, Mr. Julius",male,0.0,0.0,2676,C23 C25 C27,S,13,"Los Angeles, CA"
37.0,15.0,160.0,2.0,1,"Rheims, Mr. George Alexander Lucien",male,0.0,0.0,2676,C23 C25 C27,S,13,"Brooklyn, NY"
35.0,15.0,161.0,2.0,0,"Skoog, Master. Harald",male,0.0,0.0,2676,C23 C25 C27,S,13,"Deephaven, MN / Cedar Rapids, IA"
35.0,76.0,168.0,2.0,0,"Chibnall, Mrs. (Edith Martha Bowerman)",male,0.0,0.0,2676,C23 C25 C27,S,13,"New York, NY"
39.0,31.0,164.0,1.0,1,"Rheims, Mr. George Alexander Lucien",male,0.0,0.0,2676,C23 C25 C27,S,13,London
35.0,4.0,158.0,2.0,1,"Rheims, Mr. George Alexander Lucien",male,0.0,0.0,2676,C23 C25 C27,S,13,"Brooklyn, NY"
32.0,27.0,157.0,3.0,0,"Lester, Mr. James",male,0.0,0.0,2684,F33,Q,15,"Bronx, NY"
31.0,23.0,160.0,2.0,0,"Keane, Miss. Nora A",male,0.0,0.0,113778,C23 C25 C27,S,13,"Deephaven, MN / Cedar Rapids, IA"
37.0,48.0,154.0,1.0,0,"Persson, Mr. Ernst Ulrik",male,0.0,0.0,2673,C23 C25 C27,S,13,"Norwich / New York, NY"
34.0,-2.0,157.0,2.0,0,"Daly, Mr. Peter Denis",male,0.0,0.0,2676,C23 C25 C27,S,13,"Brooklyn, NY"
35.0,2.0,157.0,2.0,0,"Rheims, Mr. George Alexander Lucien",male,0.0,0.0,2676,C23 C25 C27,S,13,"Brooklyn, NY"
39.0,54.0,160.0,1.0,1,"Watson, Mr. Ennis Hastings",male,0.0,0.0,29105,C23 C25 C27,S,13,"Perkins County, SD"
