"('age', 'NUMERIC')","('fare', 'NUMERIC')","('body', 'NUMERIC')","('pclass', 'NUMERIC')","('survived', ['0', '1'])","('name', 'STRING')","('sex', ['female', 'male'])","('sibsp', 'NUMERIC')","('parch', 'NUMERIC')","('ticket', 'STRING')","('cabin', 'STRING')","('embarked', ['C', 'Q', 'S'])","('boat', 'STRING')","('home.dest', 'STRING')"
24.0,22.0,160.0,3.0,1,"Honkanen, Miss. Eliina",male,0.0,0.0,368573,C23 C25 C27,S,13,"New York, NY"
24.0,21.0,160.0,3.0,1,"Honkanen, Miss. Eliina",male,0.0,0.0,368573,C23 C25 C27,S,13,"New York, NY"
24.0,22.0,160.0,3.0,1,"Honkanen, Miss. Eliina",male,0.0,0.0,368573,C23 C25 C27,S,13,"New York, NY"
24.0,21.0,160.0,3.0,1,"Honkanen, Miss. Eliina",male,0.0,0.0,368573,C23 C25 C27,S,13,"New York, NY"
24.0,21.0,160.0,3.0,1,"Honkanen, Miss. Eliina",male,0.0,0.0,368573,C23 C25 C27,S,13,"New York, NY"
22.0,12.0,159.0,3.0,0,"Honkanen, Miss. Eliina",male,0.0,0.0,368573,C23 C25 C27,S,13,"New York, NY"
24.0,20.0,160.0,3.0,1,"Honkanen, Miss. Eliina",male,0.0,0.0,368573,C23 C25 C27,S,13,"New York, NY"
24.0,20.0,160.0,3.0,1,"Honkanen, Miss. Eliina",male,0.0,0.0,368573,C23 C25 C27,S,13,"New York, NY"
24.0,20.0,160.0,3.0,1,"Honkanen, Miss. Eliina",male,0.0,0.0,368573,C23 C25 C27,S,13,"New York, NY"
24.0,20.0,160.0,3.0,1,"Honkanen, Miss. Eliina",male,0.0,0.0,368573,C23 C25 C27,S,13,"New York, NY"
24.0,21.0,160.0,3.0,1,"Honkanen, Miss. Eliina",male,0.0,0.0,368573,C23 C25 C27,S,13,"New York, NY"
24.0,21.0,160.0,3.0,1,"Honkanen, Miss. Eliina",male,0.0,0.0,368573,C23 C25 C27,S,13,"New York, NY"
24.0,21.0,160.0,3.0,1,"Honkanen, Miss. Eliina",male,0.0,0.0,368573,C23 C25 C27,S,13,"New York, NY"
23.0,20.0,160.0,3.0,1,"Honkanen, Miss. Eliina",male,0.0,0.0,368573,C23 C25 C27,S,13,"New York, NY"
23.0,19.0,160.0,3.0,1,"Honkanen, Miss. Eliina",male,0.0,0.0,368573,C23 C25 C27,S,13,"New York, NY"
24.0,21.0,160.0,3.0,1,"Honkanen, Miss. Eliina",male,0.0,0.0,368573,C23 C25 C27,S,13,"New York, NY"
24.0,22.0,160.0,3.0,1,"Honkanen, Miss. Eliina",male,0.0,0.0,368573,C23 C25 C27,S,13,"New York, NY"
